항목,구분 ,중구 ,서구 ,동구 ,영도구 ,부산진구 ,동래구 ,남구 ,북구 ,해운대구,사하구 ,금정구 ,강서구 ,연제구 ,수영구 ,사상구 ,기장군 
매립처리량,연간(톤),3034,2323,1653,1219,17393,9195,8042,10498,5251,3089,7240,9742,1831,2205,9937,2290
매립처리량,일일(톤),8,7,5,3,48,25,22,29,14,8,20,27,5,6,27,6
소각처리량,연간(톤),13729,10446,8297,8651,538,17,158,97,31924,32671,222,4788,14521,11987,216,13687
소각처리량,일일(톤),38,29,23,24,2,0,0,0,87,89,1,13,40,33,0,37
재활용처리량,연간(톤),9082,21301,17968,24616,88453,56526,57921,63879,64667,70923,56153,25977,37115,28135,57110,15170
재활용처리량,일일(톤),25,58,49,68,242,155,159,175,177,194,154,71,102,77,156,42
음식물류발생량,연간(톤),5154,8779,6399,9522,27119,20128,15548,24201,40043,21183,21273,10810,14122,13289,24161,16648
음식물류발생량,일일(톤),14,24,18,26,74,55,43,66,110,58,58,30,39,36,66,46
